MSA name,Output
1674.ID_1176_left__REDUCED__18884-18958___19007-19083__DOTS_1,no significant pairs
1675.ID_1253_left__REDUCED__15893-15940___15989-16053__DOTS_1,no significant pairs
1676.ID_56:binLong:11_left_left__REDUCED__18752-18822___18871-18951__DOTS_1,no significant pairs
1677.ID_271:binLong:8_left_left__REDUCED__11220-11262___11311-11361__DOTS_1,no significant pairs
1678.ID_402:binLong:1_left_left__REDUCED__3753-3806___3855-3930__DOTS_1,no significant pairs
1679.ID_1309_left__REDUCED__28485-28556___28605-28641__DOTS_1,no significant pairs
168.ID_62:binShort:1_left_left__REDUCED__12825-12900___12866-12940__DOTS_1,no significant pairs
1680.ID_747_left__REDUCED__6109-6177___6227-6285__DOTS_1,no significant pairs
1681.ID_38:binLong:21_left_left__REDUCED__16424-16503___16553-16642__DOTS_1,no significant pairs
1682.ID_101:binLong:3_left_left__REDUCED__2097-2155___2205-2259__DOTS_1,no significant pairs
1683.ID_85:binLong:14_left_left__REDUCED__10387-10467___10517-10611__DOTS_1,no significant pairs
1684.ID_737_left__REDUCED__28492-28551___28601-28664__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1685.ID_97:binLong:15_left_left__REDUCED__4807-4862___4912-4997__DOTS_1,no significant pairs
1686.ID_53:binLong:20_left_left__REDUCED__16213-16305___16356-16434__DOTS_1,no significant pairs
1687.ID_1105_left__REDUCED__16216-16311___16362-16438__DOTS_1,no significant pairs
1688.ID_192:binLong:20_left_left__REDUCED__2654-2715___2766-2852__DOTS_1,no significant pairs
1689.ID_1261:binLong:39_left_left__REDUCED__3945-4002___4053-4096__DOTS_1,no significant pairs
169.ID_107:binShort:1_left_left__REDUCED__25092-25162___25128-25198__DOTS_1,no significant pairs
1690.ID_96:binLong:12_left_left__REDUCED__12455-12516___12567-12633__DOTS_1,no significant pairs
1691.ID_505:binLong:7_left_left__REDUCED__26890-26935___26986-27036__DOTS_1,no significant pairs
1692.ID_521_left__REDUCED__7943-8010___8062-8122__DOTS_1,no significant pairs
1693.ID_1333_left__REDUCED__17095-17163___17215-17269__DOTS_1,no significant pairs
1694.ID_96:binLong:16_left_left__REDUCED__18757-18826___18878-18941__DOTS_1,no significant pairs
1695.ID_695_left__REDUCED__12612-12645___12697-12744__DOTS_1,no significant pairs
1696.ID_1069_left__REDUCED__7035-7101___7153-7189__DOTS_1,no significant pairs
1697.ID_270:binLong:43_left_left__REDUCED__16092-16139___16191-16268__DOTS_1,no significant pairs
1698.ID_12:binLong:9_left_left__REDUCED__3729-3825___3877-3967__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1699.ID_231:binLong:1_left_left__REDUCED__5644-5705___5757-5796__DOTS_1,no significant pairs
17.ID_9:binShort:1_left_left__REDUCED__3194-3281___3204-3281__DOTS_1,no significant pairs
170.ID_3:binShort:3_left_left__REDUCED__11371-11456___11422-11480__DOTS_1,no significant pairs
1700.ID_285:binLong:63_left_left__REDUCED__1806-1845___1897-1951__DOTS_1,no significant pairs
1701.ID_773_left__REDUCED__3219-3290___3343-3397__DOTS_1,no significant pairs
1702.ID_65_left__REDUCED__2914-2972___3025-3087__DOTS_1,no significant pairs
1703.ID_80_left__REDUCED__16094-16141___16194-16262__DOTS_1,no significant pairs
1704.ID_1308_left__REDUCED__16216-16300___16353-16432__DOTS_1,no significant pairs
1705.ID_109:binLong:64_left_left__REDUCED__4467-4525___4578-4654__DOTS_1,no significant pairs
1706.ID_125:binLong:22_left_left__REDUCED__8965-9017___9070-9174__DOTS_1,no significant pairs
1707.ID_1198_left__REDUCED__9971-10021___10074-10141__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1708.ID_447:binLong:10_left_left__REDUCED__28825-28883___28936-28989__DOTS_1,no significant pairs
1709.ID_398_left__REDUCED__9965-10024___10078-10146__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
171.ID_286_left__REDUCED__12504-12563___12530-12603__DOTS_1,no significant pairs
1710.ID_301:binLong:44_left_left__REDUCED__10827-10879___10933-10979__DOTS_1,no significant pairs
1711.ID_412_left__REDUCED__10319-10374___10428-10471__DOTS_1,no significant pairs
1712.ID_193:binLong:9_left_left__REDUCED__12452-12520___12574-12637__DOTS_1,no significant pairs
1713.ID_1289_left__REDUCED__14519-14573___14627-14672__DOTS_1,no significant pairs
1714.ID_1020:binLong:64_left_left__REDUCED__11695-11759___11813-11862__DOTS_1,no significant pairs
1715.ID_1323_left__REDUCED__12070-12130___12185-12280__DOTS_1,no significant pairs
1716.ID_368:binLong:51_left_left__REDUCED__28822-28892___28947-28997__DOTS_1,no significant pairs
1717.ID_610:binLong:14_left_left__REDUCED__22778-22840___22895-22930__DOTS_1,no significant pairs
1718.ID_33_left__REDUCED__14011-14104___14160-14223__DOTS_1,no significant pairs
1719.ID_108_left__REDUCED__2093-2162___2218-2270__DOTS_1,no significant pairs
172.ID_827_left__REDUCED__1814-1878___1845-1932__DOTS_1,no significant pairs
1720.ID_112_left__REDUCED__1801-1847___1903-1953__DOTS_1,no significant pairs
1721.ID_604_left__REDUCED__1932-1988___2044-2115__DOTS_1,no significant pairs
1722.ID_383_left__REDUCED__10311-10378___10434-10474__DOTS_1,no significant pairs
1723.ID_850:binLong:24_left_left__REDUCED__2501-2550___2606-2655__DOTS_1,no significant pairs
1724.ID_305:binLong:11_left_left__REDUCED__3739-3806___3862-3949__DOTS_1,no significant pairs
1725.ID_1147_left__REDUCED__14941-15004___15060-15125__DOTS_1,no significant pairs
1726.ID_43_left__REDUCED__1115-1186___1243-1317__DOTS_1,no significant pairs
1727.ID_1175_left__REDUCED__14011-14106___14163-14221__DOTS_1,no significant pairs
1728.ID_35:binLong:20_left_left__REDUCED__16663-16794___16851-16981__DOTS_1,no significant pairs
1729.ID_1130_left__REDUCED__16208-16299___16356-16430__DOTS_1,no significant pairs
173.ID_35:binShort:1_left_left__REDUCED__4478-4559___4526-4595__DOTS_1,no significant pairs
1730.ID_337:binLong:9_left_left__REDUCED__2092-2148___2205-2267__DOTS_1,no significant pairs
1731.ID_700_left__REDUCED__26883-26929___26986-27031__DOTS_1,no significant pairs
1732.ID_158:binLong:20_left_left__REDUCED__18751-18823___18880-18953__DOTS_1,no significant pairs
1733.ID_16:binLong:2_left_left__REDUCED__18747-18813___18870-18942__DOTS_1,no significant pairs
1734.ID_86:binLong:1_left_left__REDUCED__10399-10477___10534-10612__DOTS_1,no significant pairs
1735.ID_136_left__REDUCED__7943-7990___8048-8123__DOTS_1,no significant pairs
1736.ID_27:binLong:19_left_left__REDUCED__25446-25493___25551-25634__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1737.ID_754_left__REDUCED__16420-16495___16553-16653__DOTS_1,no significant pairs
1738.ID_1111_left__REDUCED__1930-1992___2050-2128__DOTS_1,no significant pairs
1739.ID_231:binLong:43_left_left__REDUCED__18916-18968___19026-19096__DOTS_1,no significant pairs
174.ID_569_left__REDUCED__1837-1920___1887-1954__DOTS_1,no significant pairs
1740.ID_198:binLong:28_left_left__REDUCED__4472-4525___4583-4645__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1741.ID_840:binLong:53_left_left__REDUCED__18864-18954___19012-19084__DOTS_1,no significant pairs
1742.ID_375:binLong:30_left_left__REDUCED__11697-11762___11820-11862__DOTS_1,no significant pairs
1743.ID_794_left__REDUCED__15877-15930___15989-16066__DOTS_1,no significant pairs
1744.ID_835_left__REDUCED__11811-11878___11937-11973__DOTS_1,no significant pairs
1745.ID_74:binLong:27_left_left__REDUCED__28822-28882___28941-28996__DOTS_1,no significant pairs
1746.ID_1314_left__REDUCED__12072-12128___12187-12295__DOTS_1,no significant pairs
1747.ID_21:binLong:21_left_left__REDUCED__10432-10482___10541-10608__DOTS_1,no significant pairs
1748.ID_1236_left__REDUCED__14013-14102___14162-14223__DOTS_1,no significant pairs
1749.ID_324_left__REDUCED__26197-26251___26311-26363__DOTS_1,no significant pairs
175.ID_148:binShort:3_left_left__REDUCED__5610-5663___5630-5697__DOTS_1,no significant pairs
1750.ID_109_left__REDUCED__11695-11759___11819-11864__DOTS_1,no significant pairs
1751.ID_1074_left__REDUCED__16211-16305___16365-16436__DOTS_1,no significant pairs
1752.ID_865_left__REDUCED__20584-20629___20689-20742__DOTS_1,no significant pairs
1753.ID_1157_left__REDUCED__15889-15934___15994-16055__DOTS_1,no significant pairs
1754.ID_746:binLong:26_left_left__REDUCED__1151-1226___1286-1328__DOTS_1,no significant pairs
1755.ID_1218_left__REDUCED__14948-15000___15060-15145__DOTS_1,no significant pairs
1756.ID_328:binLong:35_left_left__REDUCED__14012-14094___14155-14220__DOTS_1,no significant pairs
1757.ID_242:binLong:56_left_left__REDUCED__14007-14108___14169-14221__DOTS_1,no significant pairs
1758.ID_252_left__REDUCED__26200-26242___26303-26349__DOTS_1,no significant pairs
1759.ID_433_left__REDUCED__28817-28884___28945-29009__DOTS_1,no significant pairs
176.ID_585_left__REDUCED__16047-16112___16079-16141__DOTS_1,no significant pairs
1760.ID_189:binLong:9_left_left__REDUCED__16216-16282___16343-16424__DOTS_1,no significant pairs
1761.ID_232:binLong:58_left_left__REDUCED__1130-1194___1255-1332__DOTS_1,no significant pairs
1762.ID_454_left__REDUCED__16215-16302___16364-16430__DOTS_1,no significant pairs
1763.ID_673_left__REDUCED__16427-16497___16559-16628__DOTS_1,no significant pairs
1764.ID_738_left__REDUCED__1932-1987___2049-2122__DOTS_1,no significant pairs
1765.ID_157:binLong:64_left_left__REDUCED__1123-1203___1265-1325__DOTS_1,no significant pairs
1766.ID_560:binLong:34_left_left__REDUCED__14960-15003___15065-15128__DOTS_1,no significant pairs
1767.ID_784:binLong:7_left_left__REDUCED__7958-8010___8072-8118__DOTS_1,no significant pairs
1768.ID_1062_left__REDUCED__9962-10020___10083-10141__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1769.ID_1273_left__REDUCED__10294-10373___10436-10474__DOTS_1,no significant pairs
177.ID_227:binShort:3_left_left__REDUCED__16923-16994___16961-17013__DOTS_1,no significant pairs
1770.ID_1057_left__REDUCED__9964-10024___10087-10167__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1771.ID_57:binLong:22_left_left__REDUCED__2450-2568___2631-2694__DOTS_1,no significant pairs
1772.ID_1214_left__REDUCED__5071-5117___5180-5243__DOTS_1,no significant pairs
1773.ID_192_left__REDUCED__7940-7998___8062-8129__DOTS_1,no significant pairs
1774.ID_48_left__REDUCED__18756-18822___18886-18953__DOTS_1,no significant pairs
1775.ID_34:binLong:20_left_left__REDUCED__11508-11575___11639-11732__DOTS_1,no significant pairs
1776.ID_176_left__REDUCED__16417-16482___16546-16596__DOTS_1,no significant pairs
1777.ID_1094_left__REDUCED__16107-16133___16197-16251__DOTS_1,no significant pairs
1778.ID_363:binLong:57_left_left__REDUCED__18870-18955___19019-19079__DOTS_1,no significant pairs
1779.ID_125_left__REDUCED__25445-25495___25560-25632__DOTS_1,no significant pairs
178.ID_765_left__REDUCED__11796-11864___11831-11886__DOTS_1,no significant pairs
1780.ID_1236:binLong:42_left_left__REDUCED__15131-15192___15257-15312__DOTS_1,no significant pairs
1781.ID_1102:binLong:49_left_left__REDUCED__18946-18967___19032-19099__DOTS_1,no significant pairs
1782.ID_918_left__REDUCED__16427-16497___16563-16623__DOTS_1,no significant pairs
1783.ID_818_left__REDUCED__1938-1987___2053-2125__DOTS_1,no significant pairs
1784.ID_142:binLong:39_left_left__REDUCED__1120-1191___1257-1319__DOTS_1,no significant pairs
1785.ID_56_left__REDUCED__6105-6170___6237-6292__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1786.ID_64_left__REDUCED__26196-26252___26319-26364__DOTS_1,no significant pairs
1787.ID_93_left__REDUCED__16426-16485___16552-16627__DOTS_1,no significant pairs
1788.ID_953_left__REDUCED__10387-10476___10543-10660__DOTS_1,no significant pairs
1789.ID_1004_left__REDUCED__10384-10465___10532-10655__DOTS_1,no significant pairs
179.ID_106:binShort:2_left_left__REDUCED__7982-8043___8010-8081__DOTS_1,no significant pairs
1790.ID_313_left__REDUCED__3220-3290___3357-3411__DOTS_1,no significant pairs
1791.ID_14:binLong:1_left_left__REDUCED__1081-1165___1232-1317__DOTS_1,no significant pairs
1792.ID_163_left__REDUCED__2916-2971___3038-3079__DOTS_1,no significant pairs
1793.ID_605_left__REDUCED__5063-5117___5184-5250__DOTS_1,no significant pairs
1794.ID_253:binLong:22_left_left__REDUCED__12065-12135___12202-12288__DOTS_1,no significant pairs
1795.ID_1050:binLong:38_left_left__REDUCED__18921-18980___19047-19103__DOTS_1,no significant pairs
1796.ID_344_left__REDUCED__28451-28527___28595-28699__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1797.ID_461_left__REDUCED__4798-4853___4921-4991__DOTS_1,no significant pairs
1798.ID_238:binLong:23_left_left__REDUCED__18757-18811___18879-18943__DOTS_1,no significant pairs
1799.ID_624_left__REDUCED__2220-2294___2363-2435__DOTS_1,no significant pairs
18.ID_324:binShort:1_left_left__REDUCED__12229-12323___12246-12347__DOTS_1,no significant pairs
180.ID_289_left__REDUCED__11689-11757___11725-11801__DOTS_1,no significant pairs
1800.ID_857:binLong:41_left_left__REDUCED__10815-10873___10942-10987__DOTS_1,no significant pairs
1801.ID_927:binLong:17_left_left__REDUCED__9962-10018___10087-10136__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1802.ID_1059_left__REDUCED__4795-4857___4926-4978__DOTS_1,no significant pairs
1803.ID_1292_left__REDUCED__2225-2290___2359-2416__DOTS_1,no significant pairs
1804.ID_103_left__REDUCED__25445-25499___25569-25631__DOTS_1,no significant pairs
1805.ID_416_left__REDUCED__2093-2148___2218-2269__DOTS_1,no significant pairs
1806.ID_20:binLong:5_left_left__REDUCED__16211-16287___16357-16428__DOTS_1,no significant pairs
1807.ID_209:binLong:40_left_left__REDUCED__1121-1203___1273-1337__DOTS_1,no significant pairs
1808.ID_16:binLong:8_left_left__REDUCED__2713-2806___2876-2934__DOTS_1,no significant pairs
1809.ID_111:binLong:25_left_left__REDUCED__28812-28882___28952-29010__DOTS_1,no significant pairs
181.ID_320:binShort:2_left_left__REDUCED__2070-2128___2096-2156__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1810.ID_15_left__REDUCED__11510-11576___11647-11722__DOTS_1,no significant pairs
1811.ID_300:binLong:9_left_left__REDUCED__7943-7986___8057-8124__DOTS_1,no significant pairs
1812.ID_87_left__REDUCED__5065-5117___5188-5237__DOTS_1,no significant pairs
1813.ID_186_left__REDUCED__10823-10878___10950-11011__DOTS_1,no significant pairs
1814.ID_367_left__REDUCED__1126-1197___1269-1327__DOTS_1,no significant pairs
1815.ID_20:binLong:2_left_left__REDUCED__16214-16292___16364-16429__DOTS_1,no significant pairs
1816.ID_65:binLong:1_left_left__REDUCED__2923-2982___3054-3127__DOTS_1,no significant pairs
1817.ID_1133_left__REDUCED__4463-4529___4601-4650__DOTS_1,no significant pairs
1818.ID_219:binLong:3_left_left__REDUCED__11812-11871___11943-11998__DOTS_1,no significant pairs
1819.ID_269:binLong:22_left_left__REDUCED__29636-29705___29779-29883__DOTS_1,no significant pairs
182.ID_290:binShort:1_left_left__REDUCED__3076-3127___3095-3157__DOTS_1,no significant pairs
1820.ID_79:binLong:13_left_left__REDUCED__7946-7998___8072-8130__DOTS_1,no significant pairs
1821.ID_978_left__REDUCED__20579-20625___20699-20732__DOTS_1,no significant pairs
1822.ID_1162_left__REDUCED__10376-10461___10535-10636__DOTS_1,no significant pairs
1823.ID_411:binLong:6_left_left__REDUCED__2086-2138___2212-2260__DOTS_1,no significant pairs
1824.ID_247_left__REDUCED__4453-4522___4597-4660__DOTS_1,no significant pairs
1825.ID_138_left__REDUCED__3228-3297___3372-3435__DOTS_1,no significant pairs
1826.ID_314_left__REDUCED__16704-16768___16843-16925__DOTS_1,no significant pairs
1827.ID_460_left__REDUCED__18919-18970___19045-19109__DOTS_1,no significant pairs
1828.ID_578_left__REDUCED__3741-3807___3882-3963__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1829.ID_550_left__REDUCED__16241-16301___16376-16432__DOTS_1,no significant pairs
183.ID_317:binShort:3_left_left__REDUCED__13317-13375___13343-13414__DOTS_1,no significant pairs
1830.ID_263:binLong:20_left_left__REDUCED__16426-16485___16560-16640__DOTS_1,no significant pairs
1831.ID_1079_left__REDUCED__2223-2289___2364-2413__DOTS_1,no significant pairs
1832.ID_393_left__REDUCED__7939-7986___8062-8132__DOTS_1,no significant pairs
1833.ID_78_left__REDUCED__25446-25493___25569-25629__DOTS_1,no significant pairs
1834.ID_282:binLong:6_left_left__REDUCED__22888-22948___23024-23092__DOTS_1,no significant pairs
1835.ID_209:binLong:10_left_left__REDUCED__22905-22958___23034-23095__DOTS_1,no significant pairs
1836.ID_342_left__REDUCED__5268-5353___5430-5534__DOTS_1,no significant pairs
1837.ID_957_left__REDUCED__28467-28521___28598-28711__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1838.ID_1113_left__REDUCED__3222-3297___3374-3451__DOTS_1,no significant pairs
1839.ID_12:binLong:18_left_left__REDUCED__12062-12130___12207-12310__DOTS_1,no significant pairs
184.ID_205:binShort:2_left_left__REDUCED__8247-8314___8282-8348__DOTS_1,no significant pairs
1840.ID_248_left__REDUCED__18914-18971___19049-19111__DOTS_1,no significant pairs
1841.ID_422_left__REDUCED__2921-2981___3059-3134__DOTS_1,no significant pairs
1842.ID_1107:binLong:4_left_left__REDUCED__25443-25484___25562-25628__DOTS_1,no significant pairs
1843.ID_84:binLong:14_left_left__REDUCED__5259-5344___5422-5527__DOTS_1,no significant pairs
1844.ID_404_left__REDUCED__10398-10465___10543-10621__DOTS_1,no significant pairs
1845.ID_9:binLong:1_left_left__REDUCED__18764-18809___18887-18944__DOTS_1,no significant pairs
1846.ID_572_left__REDUCED__29637-29710___29789-29881__DOTS_1,no significant pairs
1847.ID_378_left__REDUCED__1076-1165___1244-1316__DOTS_1,no significant pairs
1848.ID_851_left__REDUCED__16214-16287___16366-16432__DOTS_1,no significant pairs
1849.ID_65:binLong:11_left_left__REDUCED__10118-10210___10289-10352__DOTS_1,no significant pairs
185.ID_338:binShort:3_left_left__REDUCED__1560-1628___1596-1662__DOTS_1,no significant pairs
1850.ID_375:binLong:24_left_left__REDUCED__2437-2556___2635-2685__DOTS_1,no significant pairs
1851.ID_1122:binLong:12_left_left__REDUCED__1932-1974___2053-2097__DOTS_1,no significant pairs
1852.ID_652:binLong:30_left_left__REDUCED__26999-27043___27122-27153__DOTS_1,no significant pairs
1853.ID_129_left__REDUCED__16614-16771___16851-16945__DOTS_1,no significant pairs
1854.ID_162_left__REDUCED__16421-16485___16565-16627__DOTS_1,no significant pairs
1855.ID_37:binLong:3_left_left__REDUCED__2221-2285___2365-2433__DOTS_1,no significant pairs
1856.ID_1241_left__REDUCED__11509-11570___11650-11721__DOTS_1,no significant pairs
1857.ID_346_left__REDUCED__29635-29714___29795-29883__DOTS_1,no significant pairs
1858.ID_446_left__REDUCED__7942-7988___8070-8123__DOTS_1,no significant pairs
1859.ID_540_left__REDUCED__28459-28527___28609-28712__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
186.ID_114:binShort:2_left_left__REDUCED__2450-2537___2505-2575__DOTS_1,no significant pairs
1860.ID_341:binLong:10_left_left__REDUCED__2499-2564___2646-2707__DOTS_1,no significant pairs
1861.ID_89_left__REDUCED__2923-2976___3059-3132__DOTS_1,no significant pairs
1862.ID_142:binLong:18_left_left__REDUCED__28461-28520___28603-28722__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1863.ID_1062:binLong:12_left_left__REDUCED__4455-4509___4592-4661__DOTS_1,no significant pairs
1864.ID_161:binLong:7_left_left__REDUCED__16207-16268___16351-16423__DOTS_1,no significant pairs
1865.ID_880:binLong:3_left_left__REDUCED__18763-18810___18893-18943__DOTS_1,no significant pairs
1866.ID_38:binLong:9_left_left__REDUCED__8341-8403___8486-8589__DOTS_1,no significant pairs
1867.ID_845_left__REDUCED__29633-29704___29788-29883__DOTS_1,no significant pairs
1868.ID_145_left__REDUCED__22892-22950___23034-23098__DOTS_1,no significant pairs
1869.ID_8:binLong:10_left_left__REDUCED__1073-1143___1227-1303__DOTS_1,no significant pairs
187.ID_346:binShort:3_left_left__REDUCED__5902-5971___5939-6013__DOTS_1,no significant pairs
1870.ID_538_left__REDUCED__1904-1987___2071-2133__DOTS_1,no significant pairs
1871.ID_755_left__REDUCED__1809-1855___1939-1975__DOTS_1,no significant pairs
1872.ID_1215_left__REDUCED__2225-2279___2363-2424__DOTS_1,no significant pairs
1873.ID_537_left__REDUCED__16212-16281___16366-16432__DOTS_1,no significant pairs
1874.ID_1103_left__REDUCED__16198-16277___16362-16432__DOTS_1,no significant pairs
1875.ID_1261_left__REDUCED__26713-26762___26847-26904__DOTS_1,no significant pairs
1876.ID_73_left__REDUCED__14011-14095___14181-14229__DOTS_1,no significant pairs
1877.ID_6:binLong:9_left_left__REDUCED__988-1159___1245-1412__DOTS_1,no significant pairs
1878.ID_671_left__REDUCED__25445-25483___25569-25628__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1879.ID_1005_left__REDUCED__5260-5335___5421-5521__DOTS_1,no significant pairs
188.ID_199:binShort:2_left_left__REDUCED__1541-1604___1572-1644__DOTS_1,no significant pairs
1880.ID_1222_left__REDUCED__4452-4526___4612-4670__DOTS_1,no significant pairs
1881.ID_69:binLong:19_left_left__REDUCED__10401-10457___10543-10613__DOTS_1,no significant pairs
1882.ID_591:binLong:5_left_left__REDUCED__22888-22938___23024-23100__DOTS_1,no significant pairs
1883.ID_1172_left__REDUCED__1125-1179___1265-1327__DOTS_1,no significant pairs
1884.ID_76:binLong:14_left_left__REDUCED__23359-23451___23538-23605__DOTS_1,no significant pairs
1885.ID_1244_left__REDUCED__26678-26758___26845-26903__DOTS_1,no significant pairs
1886.ID_462_left__REDUCED__5257-5345___5433-5528__DOTS_1,no significant pairs
1887.ID_275_left__REDUCED__4448-4525___4613-4667__DOTS_1,no significant pairs
1888.ID_1159_left__REDUCED__2225-2278___2366-2431__DOTS_1,no significant pairs
1889.ID_1234_left__REDUCED__2497-2560___2648-2694__DOTS_1,no significant pairs
189.ID_59:binShort:3_left_left__REDUCED__1715-1779___1747-1825__DOTS_1,no significant pairs
1890.ID_764:binLong:31_left_left__REDUCED__18933-18970___19058-19115__DOTS_1,no significant pairs
1891.ID_40:binLong:37_left_left__REDUCED__14011-14099___14188-14227__DOTS_1,no significant pairs
1892.ID_167_left__REDUCED__5259-5339___5428-5520__DOTS_1,no significant pairs
1893.ID_155_left__REDUCED__1798-1850___1939-1984__DOTS_1,no significant pairs
1894.ID_1142_left__REDUCED__28461-28523___28612-28722__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1895.ID_1249_left__REDUCED__16210-16273___16362-16430__DOTS_1,no significant pairs
1896.ID_1125_left__REDUCED__26198-26248___26337-26382__DOTS_1,no significant pairs
1897.ID_1182_left__REDUCED__2493-2556___2645-2715__DOTS_1,no significant pairs
1898.ID_1221_left__REDUCED__1120-1180___1269-1331__DOTS_1,no significant pairs
1899.ID_185_left__REDUCED__4446-4519___4609-4669__DOTS_1,no significant pairs
19.ID_234:binShort:1_left_left__REDUCED__10725-10831___10755-10845__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
190.ID_833_left__REDUCED__8624-8700___8669-8759__DOTS_1,no significant pairs
1900.ID_279_left__REDUCED__29638-29705___29795-29877__DOTS_1,no significant pairs
1901.ID_449_left__REDUCED__2221-2284___2374-2439__DOTS_1,no significant pairs
1902.ID_4:binLong:1_left_left__REDUCED__16216-16287___16377-16437__DOTS_1,no significant pairs
1903.ID_1072_left__REDUCED__16422-16485___16575-16644__DOTS_1,no significant pairs
1904.ID_1482:binLong:52_left_left__REDUCED__26984-27043___27133-27154__DOTS_1,no significant pairs
1905.ID_774_left__REDUCED__29640-29711___29802-29859__DOTS_1,no significant pairs
1906.ID_35:binLong:24_left_left__REDUCED__28460-28534___28625-28717__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1907.ID_997_left__REDUCED__16421-16474___16565-16642__DOTS_1,no significant pairs
1908.ID_23:binLong:17_left_left__REDUCED__1093-1165___1256-1326__DOTS_1,no significant pairs
1909.ID_1119_left__REDUCED__16436-16481___16572-16635__DOTS_1,no significant pairs
191.ID_288_left__REDUCED__2222-2292___2261-2319__DOTS_1,no significant pairs
1910.ID_1286_left__REDUCED__26203-26250___26341-26380__DOTS_1,no significant pairs
1911.ID_30:binLong:44_left_left__REDUCED__7932-7985___8076-8121__DOTS_1,no significant pairs
1912.ID_257:binLong:11_left_left__REDUCED__964-1056___1147-1201__DOTS_1,no significant pairs
1913.ID_224:binLong:41_left_left__REDUCED__15872-15931___16022-16077__DOTS_1,no significant pairs
1914.ID_1086_left__REDUCED__26708-26758___26849-26901__DOTS_1,no significant pairs
1915.ID_259:binLong:14_left_left__REDUCED__16662-16753___16845-16980__DOTS_1,no significant pairs
1916.ID_29:binLong:16_left_left__REDUCED__1062-1148___1240-1301__DOTS_1,no significant pairs
1917.ID_566_left__REDUCED__17082-17159___17251-17309__DOTS_1,no significant pairs
1918.ID_1190_left__REDUCED__16206-16279___16371-16436__DOTS_1,no significant pairs
1919.ID_804_left__REDUCED__22886-22943___23035-23097__DOTS_1,no significant pairs
192.ID_630_left__REDUCED__25107-25170___25139-25207__DOTS_1,no significant pairs
1920.ID_67:binLong:7_left_left__REDUCED__6116-6183___6275-6340__DOTS_1,no significant pairs
1921.ID_206:binLong:5_left_left__REDUCED__26709-26753___26845-26942__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1922.ID_25:binLong:19_left_left__REDUCED__981-1143___1236-1413__DOTS_1,no significant pairs
1923.ID_934_left__REDUCED__28459-28518___28611-28716__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1924.ID_1151_left__REDUCED__1120-1179___1272-1329__DOTS_1,no significant pairs
1925.ID_1045_left__REDUCED__16214-16270___16364-16426__DOTS_1,no significant pairs
1926.ID_18:binLong:16_left_left__REDUCED__28468-28527___28621-28720__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1927.ID_1062:binLong:21_left_left__REDUCED__22895-22938___23032-23097__DOTS_1,no significant pairs
1928.ID_50_left__REDUCED__6100-6174___6269-6345__DOTS_1,no significant pairs
